Threat_Category,Total_Cases,Vanilla_Express_Mitigated_Pct,iri_shield_Mitigated_Pct,Defense_Gain_Pct
SQL_INJECTION,45,0%,100%,+100%
XSS,39,0%,100%,+100%
PATH_TRAVERSAL,30,0%,100%,+100%
COMMAND_INJECTION,30,0%,100%,+100%
SSTI,16,0%,100%,+100%
NOSQL_INJECTION,8,0%,100%,+100%
SCANNER_BOT,15,0%,100%,+100%
SECRET_PROBE,12,0%,100%,+100%
BRUTE_FORCE,8,0%,50%,+50%
XXE,4,0%,100%,+100%
LDAP_INJECTION,4,0%,100%,+100%
OPEN_REDIRECT,4,0%,100%,+100%
HEADER_INJECTION,3,0%,66.7%,+66.7%
BASE64_PAYLOAD,2,0%,100%,+100%
